                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6141,                0.74939,                 1.1962,                0.96231,                0.94923,                0.98553,                0.51729,                  1.655,                0.67851,                 1.1984,              0.0099673,              0.0099673,              0.0099673
                     36,                 1.6188,                0.75643,                  1.199,                0.95321,                0.95409,                0.98215,                0.51474,                 1.6336,                0.69423,                 1.2016,              0.0099663,              0.0099663,              0.0099663
                     37,                 1.6127,                0.75801,                 1.1938,                0.96401,                0.94581,                0.98069,                0.51826,                 1.6266,                0.70378,                 1.1975,              0.0099654,              0.0099654,              0.0099654
                     38,                 1.6077,                0.75789,                 1.1977,                0.95312,                0.95041,                0.98064,                0.51744,                 1.6247,                0.67509,                 1.2007,              0.0099644,              0.0099644,              0.0099644
                     39,                 1.5979,                 0.7289,                 1.2037,                0.95916,                0.95255,                0.98003,                0.51197,                 1.6427,                0.66327,                 1.2157,              0.0099634,              0.0099634,              0.0099634
                     40,                 1.6018,                0.73755,                 1.1867,                0.95478,                0.95256,                0.98203,                 0.5281,                 1.6207,                0.66561,                 1.1825,              0.0099624,              0.0099624,              0.0099624
                     41,                 1.6048,                0.73681,                 1.1979,                0.96021,                0.94337,                0.97551,                0.51896,                 1.6448,                0.67575,                 1.2085,              0.0099614,              0.0099614,              0.0099614
                     42,                 1.6041,                0.74818,                 1.1904,                0.97223,                0.93106,                0.98058,                0.52185,                 1.6417,                0.67533,                 1.1961,              0.0099604,              0.0099604,              0.0099604
                     43,                 1.6152,                0.74392,                 1.1907,                0.95489,                0.95142,                0.98033,                0.51525,                 1.6432,                0.69143,                 1.1938,              0.0099594,              0.0099594,              0.0099594
                     44,                 1.5902,                0.72928,                 1.1881,                0.96056,                0.93769,                0.98341,                0.52461,                 1.6322,                0.66243,                 1.1923,              0.0099584,              0.0099584,              0.0099584
                     45,                 1.6062,                0.73357,                 1.1929,                0.95096,                0.95002,                0.98061,                0.52184,                 1.6192,                0.68185,                 1.1962,              0.0099574,              0.0099574,              0.0099574
                     46,                 1.6142,                0.73178,                 1.2071,                0.94893,                0.93868,                0.97679,                0.52339,                 1.6223,                0.67278,                 1.1856,              0.0099564,              0.0099564,              0.0099564
                     47,                 1.5859,                0.72434,                 1.1859,                0.95767,                0.94474,                0.97836,                0.52905,                 1.6017,                0.66609,                 1.1748,              0.0099555,              0.0099555,              0.0099555
                     48,                 1.5784,                0.71313,                 1.1809,                0.96575,                0.94944,                0.98276,                0.52488,                 1.6106,                 0.6652,                 1.1939,              0.0099545,              0.0099545,              0.0099545
                     49,                 1.5903,                0.72949,                 1.1836,                0.95634,                0.95048,                0.98526,                0.53458,                 1.6058,                0.64362,                  1.173,              0.0099535,              0.0099535,              0.0099535
                     50,                 1.5708,                0.71355,                 1.1829,                0.96089,                0.94993,                0.98281,                0.52663,                 1.6153,                0.66575,                 1.1949,              0.0099525,              0.0099525,              0.0099525
                     51,                 1.6007,                0.72385,                 1.1941,                0.96002,                 0.9543,                0.98126,                 0.5224,                 1.6037,                0.66346,                 1.1808,              0.0099515,              0.0099515,              0.0099515
                     52,                 1.5931,                0.72444,                 1.1916,                0.95666,                0.94795,                0.98402,                0.53023,                 1.6186,                0.64591,                 1.1955,              0.0099505,              0.0099505,              0.0099505
                     53,                 1.5768,                0.71657,                 1.1763,                0.96975,                0.94804,                0.98493,                0.52656,                  1.601,                0.64871,                 1.1865,              0.0099495,              0.0099495,              0.0099495
                     54,                  1.577,                0.70619,                 1.1762,                0.95327,                0.95824,                0.98122,                0.53309,                 1.6097,                0.65176,                 1.1788,              0.0099485,              0.0099485,              0.0099485
                     55,                  1.576,                0.70427,                 1.1879,                0.95702,                0.94957,                0.98299,                0.53254,                 1.6108,                0.63689,                 1.1785,              0.0099475,              0.0099475,              0.0099475
                     56,                 1.5749,                0.70489,                 1.1804,                0.95767,                0.96024,                0.98071,                 0.5319,                 1.6158,                0.66616,                 1.1835,              0.0099465,              0.0099465,              0.0099465
                     57,                 1.5761,                0.70888,                 1.1734,                0.96206,                0.95409,                0.98248,                 0.5271,                 1.6143,                 0.6469,                 1.1833,              0.0099456,              0.0099456,              0.0099456
                     58,                 1.5677,                0.69217,                 1.1825,                0.95949,                0.95491,                0.98545,                0.52712,                 1.6029,                0.64214,                 1.1899,              0.0099446,              0.0099446,              0.0099446
                     59,                 1.5648,                0.70057,                 1.1685,                 0.9629,                 0.9578,                0.98254,                0.52292,                 1.6109,                0.64637,                 1.1728,              0.0099436,              0.0099436,              0.0099436
                     60,                 1.5624,                0.69855,                 1.1726,                0.96544,                0.94976,                0.98442,                0.53229,                 1.6203,                0.64157,                 1.1961,              0.0099426,              0.0099426,              0.0099426
                     61,                  1.572,                0.70784,                 1.1764,                0.96215,                0.95052,                0.98488,                0.53988,                 1.6088,                0.63472,                 1.1765,              0.0099416,              0.0099416,              0.0099416
                     62,                 1.5585,                  0.691,                 1.1783,                0.95893,                0.95888,                0.98402,                0.52931,                 1.6023,                0.62739,                 1.1845,              0.0099406,              0.0099406,              0.0099406
                     63,                 1.5602,                0.69566,                 1.1659,                0.96748,                 0.9597,                0.98468,                0.53163,                  1.601,                0.62741,                 1.1731,              0.0099396,              0.0099396,              0.0099396
                     64,                 1.5466,                0.68675,                 1.1803,                0.95735,                 0.9529,                 0.9841,                0.54417,                 1.5857,                0.62814,                 1.1775,              0.0099386,              0.0099386,              0.0099386
                     65,                 1.5442,                0.68916,                 1.1599,                0.96062,                0.94894,                0.98476,                0.53213,                 1.6172,                0.63577,                  1.182,              0.0099376,              0.0099376,              0.0099376
                     66,                 1.5503,                0.69091,                 1.1711,                0.96294,                0.95404,                0.98609,                0.53034,                 1.6049,                0.62964,                 1.1788,              0.0099366,              0.0099366,              0.0099366
                     67,                 1.5674,                0.69669,                 1.1767,                0.96084,                 0.9536,                0.98525,                0.54044,                 1.5999,                0.62677,                 1.1698,              0.0099357,              0.0099357,              0.0099357
                     68,                 1.5544,                0.69782,                 1.1698,                0.96059,                0.95401,                0.98429,                0.52756,                 1.6067,                0.63475,                  1.185,              0.0099347,              0.0099347,              0.0099347
                     69,                 1.5558,                 0.6911,                 1.1723,                0.96159,                0.94982,                0.98009,                 0.5325,                 1.6044,                0.62989,                   1.17,              0.0099337,              0.0099337,              0.0099337
                     70,                 1.5533,                0.69765,                 1.1624,                0.96442,                0.94657,                0.98142,                0.52983,                 1.6032,                0.62899,                 1.1801,              0.0099327,              0.0099327,              0.0099327
                     71,                 1.5391,                0.67685,                 1.1683,                0.96457,                0.95265,                0.98439,                0.53209,                 1.6215,                 0.6411,                  1.193,              0.0099317,              0.0099317,              0.0099317
                     72,                 1.5447,                0.68902,                 1.1661,                0.96577,                0.95813,                0.98602,                0.53851,                 1.6052,                0.62871,                 1.1858,              0.0099307,              0.0099307,              0.0099307
                     73,                 1.5372,                0.68189,                 1.1692,                0.95777,                0.95109,                0.98074,                0.52513,                   1.62,                0.63296,                 1.2027,              0.0099297,              0.0099297,              0.0099297
                     74,                 1.5379,                0.67449,                 1.1712,                0.95492,                0.96157,                0.98365,                0.53087,                 1.6085,                0.61816,                 1.1817,              0.0099287,              0.0099287,              0.0099287
                     75,                  1.534,                0.67363,                 1.1621,                0.96677,                0.95887,                0.98496,                 0.5275,                 1.6031,                0.62273,                  1.181,              0.0099277,              0.0099277,              0.0099277
                     76,                  1.533,                0.67732,                 1.1579,                0.96167,                 0.9505,                0.98576,                0.53731,                 1.5988,                0.61893,                 1.1849,              0.0099267,              0.0099267,              0.0099267
                     77,                 1.5211,                0.67393,                 1.1603,                0.96888,                0.95449,                0.98298,                0.53957,                 1.5994,                0.61321,                 1.1871,              0.0099258,              0.0099258,              0.0099258
                     78,                 1.5324,                0.67558,                 1.1643,                 0.9592,                0.96353,                0.98471,                0.53464,                 1.6031,                 0.6235,                 1.1828,              0.0099248,              0.0099248,              0.0099248
                     79,                 1.5247,                0.66715,                 1.1651,                 0.9655,                 0.9619,                0.98444,                0.53385,                 1.6054,                 0.6135,                 1.1849,              0.0099238,              0.0099238,              0.0099238
                     80,                 1.5371,                0.67199,                 1.1542,                0.95927,                0.95757,                 0.9809,                0.53373,                 1.6081,                0.61406,                 1.1806,              0.0099228,              0.0099228,              0.0099228
                     81,                 1.5388,                0.67466,                 1.1619,                   0.97,                0.95508,                0.98415,                0.53726,                 1.5868,                0.61409,                 1.1733,              0.0099218,              0.0099218,              0.0099218
                     82,                   1.53,                0.67164,                 1.1639,                0.96624,                0.95296,                0.98541,                0.54225,                  1.609,                0.61949,                 1.1863,              0.0099208,              0.0099208,              0.0099208
                     83,                   1.53,                0.66668,                 1.1651,                0.96626,                0.95918,                 0.9856,                0.53823,                 1.6057,                 0.6124,                 1.1847,              0.0099198,              0.0099198,              0.0099198
                     84,                 1.5135,                0.65953,                 1.1568,                0.96272,                 0.9534,                0.98319,                0.52767,                 1.6141,                0.61747,                 1.1886,              0.0099188,              0.0099188,              0.0099188
                     85,                 1.5191,                0.67055,                 1.1576,                0.97117,                 0.9611,                0.98832,                0.54176,                 1.6056,                0.60759,                 1.1871,              0.0099178,              0.0099178,              0.0099178
                     86,                 1.5128,                0.66292,                 1.1506,                 0.9716,                0.95917,                0.98709,                0.52957,                 1.6023,                0.60242,                 1.1873,              0.0099168,              0.0099168,              0.0099168
                     87,                  1.514,                0.66442,                 1.1615,                0.97067,                0.95182,                0.98425,                0.53734,                 1.5962,                0.60735,                 1.1858,              0.0099159,              0.0099159,              0.0099159
                     88,                  1.505,                0.66351,                 1.1591,                0.97127,                 0.9505,                0.98544,                0.53409,                 1.5991,                0.60435,                 1.1816,              0.0099149,              0.0099149,              0.0099149
